"id";"titel";"zoho_categorie";"nieuwe_categorie";"tags";"signalen";"zoho_status"
"213858000000636009";"Telefonische bestelling";"Bestellen";"Orderverwerking";"";"mogelijk duplicaat";"Published"
"213858000000636114";"Telefonische bestelling";"Bestellen";"Orderverwerking";"";"mogelijk duplicaat";"Published"
"213858000000636156";"Verkeerd besteld, afleveradres, product, aantal, huisnr, etc.";"Bestellen";"Orderverwerking";"magento, pon, dropshipment";"mogelijk duplicaat";"Published"
"213858000001030733";"Retourneren Breda Marzan Warehouse";"Retourneren";"Retour & Klachten";"";"";"Published"
"213858000001030930";"Zending Retour adres niet juist";"Retourneren";"Retour & Klachten";"magento";"";"Published"
"213858000001030978";"Retourneren De Raat Zoetermeer";"Retourneren";"Retour & Klachten";"";"";"Published"
"213858000001040001";"Telefonische bestelling";"Bestellen";"Orderverwerking";"";"mogelijk duplicaat · was draft in Zoho";"Draft"
"213858000001040035";"Verkeerd besteld, afleveradres, product, aantal, huisnr, etc.";"Bestellen";"Orderverwerking";"magento, pon, dropshipment";"mogelijk duplicaat · was draft in Zoho";"Draft"
"213858000001040069";"Kan ik korting krijgen?";"Bestellen";"Verkoop & Productadvies";"";"was draft in Zoho";"Draft"
"213858000001040103";"Wat zijn de verzendkosten?";"Bestellen";"Verzending & Magazijnen";"";"";"Published"
"213858000001040137";"Ik wil een kluis anoniem aankopen, kan dat?";"Bestellen";"Verkoop & Productadvies";"";"was draft in Zoho";"Draft"
"213858000001040171";"Op rekening betalen bedrijven en condities (betaaltermijn)";"Betalen";"Betalen & Administratie";"b2b, kredietcheck";"";"Published"
"213858000001040205";"Betaalopties backend Magento";"Betalen";"Betalen & Administratie";"magento";"";"Published"
"213858000001040239";"Levertijden & levering op specifieke dag";"Bestellen";"Verzending & Magazijnen";"installatie";"";"Published"
"213858000001040273";"Waar blijft mijn bestelling / service?";"Procedures / werkwijzes";"Verzending & Magazijnen";"";"";"Published"
"213858000001040307";"Is zaterdag levering mogelijk?";"Bestellen";"Verzending & Magazijnen";"installatie";"";"Published"
"213858000001040341";"Welke service mag ik verwachten bij aflevering van een kluis?";"Bestellen";"Installatie & Services";"";"";"Published"
"213858000001040375";"Tracking link Transmission";"Verzending";"Verzending & Magazijnen";"magento";"was draft in Zoho";"Draft"
"213858000001040409";"Kluis afhalen";"Bestellen";"Verzending & Magazijnen";"";"";"Published"
"213858000001040443";"Installatie van kluizen, brandkasten";"Bestellen";"Installatie & Services";"installatie";"";"Published"
"213858000001040477";"6% regeling België (kluis aanrekenen met 6% voor particulieren)";"Betalen";"Betalen & Administratie";"belgie";"";"Published"
"213858000001040511";"Retourneren van een bestelling";"Retourneren";"Retour & Klachten";"";"";"Published"
"213858000001040545";"Bestelling wijzigen of annuleren";"Bestellen";"Orderverwerking";"";"";"Published"
"213858000001040579";"Vervangen/retourneren Puck";"Administratie";"Retour & Klachten";"";"";"Published"
"213858000001040613";"Wat is de garantietermijn?";"Bestellen";"Verkoop & Productadvies";"b2b";"";"Published"
"213858000001040647";"Defect aanmelden";"Schade / Defect";"Retour & Klachten";"";"";"Published"
"213858000001040681";"Product beschadigd bij levering";"Schade / Defect";"Retour & Klachten";"";"";"Published"
"213858000001040715";"De onderkant van mijn kluis is beschadigd, is dat normaal?";"Schade / Defect";"Verkoop & Productadvies";"";"";"Published"
"213858000001040749";"Ruilprogramma Puck Keysafe";"Administratie";"Retour & Klachten";"sleutels";"was draft in Zoho";"Draft"
"213858000001040783";"Mijn kluis gaat niet open - klant";"Administratie";"Kluisproblemen";"";"was draft in Zoho";"Draft"
"213858000001040817";"Kluis met elektronisch codeslot gaat niet open - gebruikersfout of batterijprobleem";"Kluis niet open / dicht";"Kluisproblemen";"";"";"Published"
"213858000001040851";"Puck sleutelkluis gaat niet meer open, er zit geen beweging meer in. Wat nu?";"Kluis niet open / dicht";"Kluisproblemen";"sleutels";"";"Published"
"213858000001040885";"Mijn kluis gaat niet open - GEEN klant";"Administratie";"Kluisproblemen";"";"was draft in Zoho";"Draft"
"213858000001040919";"Verdere opvolging After Sales Support, kluis gaat niet open, e.d.";"Administratie";"Kluisproblemen";"";"was draft in Zoho";"Draft"
"213858000001040953";"Sleutels bijbestellen, bijmaken, dupliceren";"Kluis niet open / dicht";"Kluisproblemen";"sleutels";"";"Published"
"213858000001040987";"Procedure koppelen Klant SafetyFirst Brandbeveiliging Pro";"Procedures / werkwijzes";"B2B Accounts";"";"";"Published"
"213858000001041021";"Factuur (opnieuw) doorsturen naar klant per email";"Administratie";"Betalen & Administratie";"magento";"";"Published"
"213858000001041055";"Factuurgegevens aanpassen";"Administratie";"Betalen & Administratie";"";"";"Published"
"213858000001041089";"Verkeerd emailadres opgegeven";"Bestellen";"Orderverwerking";"";"";"Published"
"213858000001041123";"Uitvragen, welke vragen stel ik?";"Advies";"Verkoop & Productadvies";"sleutels";"";"Published"
"213858000001041157";"Smelt het elektronisch codeslot van een (brandwerende) kluis in een brand?";"Advies";"Verkoop & Productadvies";"";"";"Published"
"213858000001041225";"Uitvragen sleutelkast, sleutelkluis, sleutelmanagement";"Advies";"Verkoop & Productadvies";"sleutels";"was draft in Zoho";"Draft"
"213858000001041259";"Inwerkprogramma Nieuwe Medewerker";"Introductie nieuwe agents";"Start hier";"start-hier";"was draft in Zoho";"Draft"
"213858000001041293";"Ticket onderwerpen";"Introductie nieuwe agents";"Start hier";"escalatie-verplicht";"was draft in Zoho";"Draft"
"213858000001041327";"Software en systemen";"Introductie nieuwe agents";"Start hier";"start-hier";"noemt Freshdesk";"Published"
"213858000001041361";"Orderstatussen & labels in Magento — overzicht voor nieuwe medewerkers";"Introductie nieuwe agents";"Orderverwerking";"magento, start-hier";"";"Published"
"213858000001041395";"Zelf doen, zelf ervaren, test product bestellen";"Introductie nieuwe agents";"Start hier";"nederland, start-hier";"";"Published"
"213858000001041429";"Ticket en klant aanmaken in Freshdesk";"Introductie nieuwe agents";"Start hier";"";"noemt Freshdesk · was draft in Zoho";"Draft"
"213858000001041463";"Claim indienen bij e-warehouse";"Introductie nieuwe agents";"Verzending & Magazijnen";"pon";"was draft in Zoho";"Draft"
"213858000001041497";"Screencasts Magento";"Introductie nieuwe agents";"Start hier";"magento, start-hier";"noemt Freshdesk";"Published"
"213858000001041565";"Opvolging openstaande bestellingen";"Procedures / werkwijzes";"Orderverwerking";"pon, dropshipment, installatie";"was draft in Zoho";"Draft"
"213858000001041599";"Opvolging installatie kluizen";"Procedures / werkwijzes";"Installatie & Services";"installatie";"";"Published"
"213858000001041633";"Inboeken verzending Magento (track&trace, POD, e.d.)";"Procedures / werkwijzes";"Verzending & Magazijnen";"magento";"Google Drive-link · was draft in Zoho";"Draft"
"213858000001041667";"Overzicht merken toeleveranciers";"Procedures / werkwijzes";"Toeleveranciers & Partners";"magento";"Google Drive-link · was draft in Zoho";"Draft"
"213858000001041701";"Klant email sturen vanuit bestelling, factuur, verzending of creditfactuur in webshops@marzansecurity.com";"Procedures / werkwijzes";"Orderverwerking";"";"Google Drive-link · was draft in Zoho";"Draft"
"213858000001041735";"Efulfilment / e-warehouse";"Procedures / werkwijzes";"Verzending & Magazijnen";"pon";"was draft in Zoho";"Draft"
"213858000001041769";"Emailen naar klant vanuit Freshdesk";"Procedures / werkwijzes";"Start hier";"";"noemt Freshdesk · Google Drive-link · was draft in Zoho";"Draft"
"213858000001041803";"Opvolging aanvraag afvoer of verhuis kluis";"Procedures / werkwijzes";"Installatie & Services";"";"was draft in Zoho · niet gewijzigd sinds 2023";"Draft"
"213858000001041837";"Afhandelen retour";"Procedures / werkwijzes";"Retour & Klachten";"pon";"";"Published"
"213858000001041905";"Website bewerken";"Procedures / werkwijzes";"Orderverwerking";"";"Google Drive-link · was draft in Zoho · niet gewijzigd sinds 2024";"Draft"
"213858000001041939";"Bestelling / inkooporder invoeren in Magento";"Procedures / werkwijzes";"Orderverwerking";"magento";"Google Drive-link";"Published"
"213858000001042075";"Orderverwerking kluis openen, inkoopdracht verstrekken aan toeleverancier";"Procedures / werkwijzes";"Kluisproblemen";"";"Google Drive-link";"Published"
"213858000001042143";"Werkroutine Customer Service";"Procedures / werkwijzes";"Start hier";"magento, start-hier";"";"Published"
"213858000001042177";"HS code Harmonized Statistical code";"Procedures / werkwijzes";"Betalen & Administratie";"";"";"Published"
"213858000001042211";"Werkinstructie orderproces New York Pizza NIEUWE filialen";"Procedures / werkwijzes";"B2B Accounts";"b2b";"";"Published"
"213858000001042245";"Producten uitfaseren (maar actief houden)";"Procedures / werkwijzes";"Orderverwerking";"uk";"was draft in Zoho · niet gewijzigd sinds 2023";"Draft"
"213858000001042279";"Voorraad Breda toevoegen";"Procedures / werkwijzes";"Verzending & Magazijnen";"";"was draft in Zoho";"Draft"
"213858000001042313";"Order export (indien mail niet in orderbox komt)";"Procedures / werkwijzes";"Orderverwerking";"magento, installatie";"was draft in Zoho · niet gewijzigd sinds 2023";"Draft"
